seeded,season,NC,SC,NWC,target
S,SPRING,2.74,3.03,6.39,2.67
U,SUMMER,1.06,1.13,1.46,0.88
S,SPRING,0.02,0.08,0.24,0.07
S,AUTUMN,0.11,0.14,0.58,0.13
U,AUTUMN,3.66,1.84,5.36,2.47
S,SPRING,2.76,3.1,5.06,3.38
S,WINTER,1.46,1.48,0.4,1.11
U,SUMMER,1.27,1.39,1.2,1.04
U,SPRING,1.38,1.86,2.91,1.36
U,WINTER,1.03,0.22,1.88,0.3
S,SUMMER,0.69,0.49,0.69,0.86
U,WINTER,2.76,0.87,4.17,0.84
U,SUMMER,0.01,0.44,0.66,0.31
U,SPRING,0.61,0.87,1.35,0.92
S,SPRING,0.25,0.46,0.89,0.39
U,SPRING,0.66,0.73,0.91,0.54
S,SUMMER,0.13,0.27,0.35,0.17
U,SUMMER,0.48,0.59,0.68,0.68
S,SPRING,5.08,1.77,4.2,3.43
S,WINTER,1.62,1.16,2.87,0.79
S,WINTER,0.26,0.47,0.9,0.37
S,SPRING,2.13,1.13,2.33,1.22
S,WINTER,0.07,2.26,2.08,1.09
U,SPRING,2.14,1.0,4.39,1.74
U,WINTER,1.5,0.24,1.15,0.64
S,SUMMER,0.45,0.43,0.44,0.4
U,AUTUMN,1.14,0.81,2.09,1.01
U,SPRING,2.46,2.47,2.39,2.37
S,AUTUMN,0.76,0.71,1.28,0.63
U,WINTER,1.03,0.58,1.77,0.4
S,SUMMER,1.83,1.82,3.11,1.79
U,SPRING,0.7,0.67,0.94,0.76
U,AUTUMN,1.19,0.85,2.31,0.93
U,WINTER,2.96,1.27,4.05,1.44
U,SUMMER,0.1,0.3,0.34,0.25
U,SPRING,1.33,0.43,2.18,0.81
U,SPRING,2.53,1.08,3.65,1.33
U,AUTUMN,0.19,0.28,0.7,0.12
U,WINTER,1.08,0.85,3.45,0.37
S,SPRING,1.52,1.62,2.86,1.53
S,WINTER,4.24,1.67,5.48,2.35
U,WINTER,9.42,3.6,7.84,6.0
S,SUMMER,2.65,0.85,1.48,0.96
U,SUMMER,0.08,0.4,0.57,0.19
S,SPRING,2.36,1.53,3.03,1.59
U,SPRING,0.72,0.99,0.98,0.71
S,WINTER,2.21,2.36,3.25,1.63
U,AUTUMN,2.05,1.3,4.04,1.1
S,SPRING,1.22,2.28,1.58,1.17
S,AUTUMN,0.31,0.23,0.83,0.37
U,SUMMER,2.12,0.95,1.82,2.16
S,AUTUMN,1.8,1.62,3.02,1.83
U,SUMMER,0.18,1.42,0.71,0.73
U,WINTER,1.84,1.73,2.33,2.36
U,AUTUMN,0.35,0.75,0.2,0.04
S,SPRING,2.12,2.77,4.44,2.09
U,WINTER,1.44,1.0,1.64,1.08
U,SPRING,0.0,0.19,0.06,0.36
U,AUTUMN,4.44,1.05,3.59,2.24
U,AUTUMN,2.58,1.21,3.95,1.41
S,AUTUMN,1.3,0.34,2.45,0.55
U,SPRING,3.27,2.68,3.6,2.53
S,WINTER,1.87,0.58,2.97,0.88
U,WINTER,2.44,1.52,4.01,1.16
U,AUTUMN,1.09,0.79,1.59,0.74
S,SUMMER,0.83,0.38,0.7,0.44
U,AUTUMN,2.24,4.02,2.52,2.73
S,WINTER,2.39,0.36,2.06,0.81
S,AUTUMN,0.94,1.59,1.73,1.62
U,AUTUMN,0.3,0.72,1.38,0.57
S,WINTER,0.8,2.25,2.79,1.08
U,SPRING,1.71,2.03,3.24,1.91
S,AUTUMN,1.44,3.14,0.86,4.97
S,SUMMER,2.26,1.04,1.27,1.76
S,AUTUMN,0.42,0.47,0.53,0.52
S,AUTUMN,2.84,2.44,4.48,2.5
U,SPRING,0.37,1.25,1.74,0.56
S,SUMMER,0.97,1.66,2.21,1.13
S,WINTER,0.05,0.38,0.9,0.24
S,SUMMER,0.0,0.04,0.04,0.0
S,SPRING,0.96,0.64,1.24,0.58
